"animalID","AgeYears","season","BirthDate","Precision"
52,10,1996,1996-01-18,1
133,10,1997,1997-01-24,NA
133,11,1998,1998-01-25,2
133,12,1999,NA,NA
133,13,2000,2000-02-14,10
133,15,2002,2002-01-23,NA
133,17,2004,2004-02-09,NA
136,9,1996,1996-01-09,1
136,10,1997,1997-01-17,1
136,13,2000,2000-01-28,NA
136,14,2001,2001-01-14,7
136,15,2002,NA,NA
136,16,2003,2003-01-27,7
136,17,2004,2004-01-22,2
136,18,2005,2005-02-09,25
136,19,2006,2006-02-09,11
151,9,1996,1996-01-28,NA
151,10,1997,1997-01-31,2
151,11,1998,1998-02-27,NA
151,12,1999,NA,NA
151,16,2003,2003-02-09,NA
151,18,2005,2005-02-25,NA
151,19,2006,2006-02-23,4
165,9,1996,1996-01-28,NA
170,9,1996,1996-01-23,NA
170,11,1998,1998-03-01,14
170,12,1999,NA,NA
170,13,2000,2000-02-29,NA
170,14,2001,2001-02-04,8
170,15,2002,2002-02-11,NA
170,16,2003,2003-02-09,NA
170,17,2004,2004-01-31,NA
170,18,2005,2005-02-06,13
170,19,2006,2006-02-07,NA
170,20,2007,NA,NA
676,4,2005,2005-01-10,NA
933,3,2006,NA,NA
933,4,2007,2007-01-23,1
933,5,2008,2008-02-07,NA
933,6,2009,2009-02-20,NA
933,7,2010,NA,NA
933,9,2012,2012-01-15,1
933,10,2013,2013-01-21,8
933,11,2014,NA,NA
1129,4,2005,2005-01-12,2
1129,5,2006,2006-02-10,NA
1129,6,2007,NA,NA
1145,3,2004,2004-01-18,1
1145,4,2005,2005-01-18,8
1145,5,2006,2006-01-19,3
1145,6,2007,2007-01-23,3
1145,7,2008,2008-02-18,30
1205,3,2005,NA,NA
1205,5,2007,2007-02-12,24
1230,4,2006,2006-01-15,6
1230,5,2007,2007-01-20,1
1230,6,2008,2008-02-08,20
1230,7,2009,2009-02-02,11
1285,3,2005,NA,NA
1297,3,2005,NA,NA
1297,4,2006,2006-01-24,1
1297,5,2007,2007-02-12,6
1314,3,2005,NA,NA
1314,4,2006,NA,NA
1339,3,2005,NA,NA
1339,4,2006,2006-01-23,2
1340,3,2005,NA,NA
1340,5,2007,2007-01-11,NA
1340,7,2009,2009-01-13,4
1349,5,2007,2007-01-05,4
1349,6,2008,NA,NA
1349,7,2009,NA,NA
1349,8,2010,2010-01-09,1
1349,9,2011,2011-01-18,2
1349,10,2012,NA,NA
1350,4,2006,2006-01-06,NA
1350,5,2007,2007-01-19,5
1350,6,2008,NA,NA
1350,7,2009,2009-01-22,14
1350,8,2010,2010-01-08,1
1350,9,2011,2011-01-12,2
1362,9,2011,NA,NA
1364,3,2005,NA,NA
1364,4,2006,2006-01-29,2
1364,5,2007,2007-02-14,5
1364,6,2008,2008-02-18,3
1364,7,2009,2009-02-04,NA
1364,8,2010,2010-02-13,NA
1364,9,2011,2011-02-11,6
1364,10,2012,2012-03-02,NA
1364,11,2013,2013-02-05,5
1364,12,2014,2014-03-07,NA
1364,13,2015,NA,NA
1364,14,2016,NA,NA
1366,3,2005,NA,NA
1366,4,2006,2006-01-24,7
1366,5,2007,2007-01-28,5
1366,6,2008,2008-01-23,1
1366,8,2010,2010-01-19,2
1366,9,2011,2011-01-11,NA
1366,10,2012,2012-01-17,1
1366,11,2013,2013-01-21,3
1366,12,2014,2014-01-22,1
1366,13,2015,NA,NA
1366,14,2016,NA,NA
1366,15,2017,2017-02-08,25
1366,16,2018,NA,NA
1366,17,2019,2019-01-28,10
1366,18,2020,NA,NA
1366,20,2022,NA,NA
1366,21,2023,NA,NA
1369,4,2006,NA,NA
1369,5,2007,NA,NA
1370,3,2005,NA,NA
1370,4,2006,2006-01-24,9
1370,5,2007,2007-02-18,NA
1370,6,2008,2008-02-01,9
1370,7,2009,NA,NA
1370,8,2010,NA,NA
1372,5,2007,2007-01-09,1
1373,4,2006,NA,NA
1381,3,2005,NA,NA
1381,4,2006,2006-01-07,2
1381,5,2007,2007-01-14,NA
1391,4,2006,2006-01-29,NA
1392,4,2006,2006-01-17,1
1392,5,2007,2007-01-25,NA
1392,6,2008,2008-02-01,NA
1401,3,2005,NA,NA
1401,4,2006,2006-01-13,2
1401,5,2007,NA,NA
1401,6,2008,2008-01-18,NA
1401,7,2009,NA,NA
1401,8,2010,2010-01-17,1
1401,9,2011,2011-01-23,3
1401,10,2012,2012-01-30,3
1403,4,2006,2006-02-03,5
1403,5,2007,2007-02-15,NA
1403,6,2008,2008-02-01,NA
1403,7,2009,2009-02-04,9
1403,9,2011,NA,NA
1403,10,2012,2012-01-30,1
1403,11,2013,2013-02-03,3
1403,12,2014,2014-01-29,2
1403,13,2015,2015-02-11,NA
1403,14,2016,2016-02-10,NA
1403,15,2017,2017-02-12,12
1406,4,2006,NA,NA
1406,6,2008,2008-01-23,NA
1406,7,2009,2009-02-14,NA
1412,4,2006,NA,NA
1412,5,2007,2007-01-09,8
1422,4,2006,NA,NA
1426,3,2005,NA,NA
1426,4,2006,2006-01-21,3
1426,5,2007,2007-02-04,11
1432,4,2006,NA,NA
1438,3,2005,NA,NA
1438,4,2006,2006-02-14,NA
1460,5,2007,NA,NA
1464,5,2007,2007-01-17,6
1464,6,2008,2008-01-23,6
1464,7,2009,2009-01-26,NA
1464,8,2010,NA,NA
1464,9,2011,2011-01-14,1
1464,10,2012,2012-01-28,1
1464,11,2013,2013-02-01,12
1464,12,2014,2014-01-28,6
1464,14,2016,2016-01-17,5
1464,15,2017,2017-01-30,11
1464,16,2018,NA,NA
1464,18,2020,2020-01-30,5
