"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2018/12/25","00:00","0.08","-","0.48"
"2018/12/25","01:00","-0.964","-","-0.53"
"2018/12/25","02:00","-1.376","-","-0.97"
"2018/12/25","03:00","-1.103","-","-0.76"
"2018/12/25","04:00","-0.242","-","-0.09"
"2018/12/25","05:00","0.984","-","1.22"
"2018/12/25","06:00","2.283","-","2.62"
"2018/12/25","07:00","3.379","-","3.71"
"2018/12/25","08:00","4.074","-","4.46"
"2018/12/25","09:00","4.292","-","4.85"
"2018/12/25","10:00","4.083","-","4.74"
"2018/12/25","11:00","3.601","-","4.17"
"2018/12/25","12:00","3.061","-","3.69"
"2018/12/25","13:00","2.687","-","3.17"
"2018/12/25","14:00","2.656","-","3.16"
"2018/12/25","15:00","3.043","-","3.42"
"2018/12/25","16:00","3.789","-","4.24"
"2018/12/25","17:00","4.716","-","5.17"
"2018/12/25","18:00","5.567","-","5.88"
"2018/12/25","19:00","6.083","-","6.44"
"2018/12/25","20:00","6.076","-","6.36"
"2018/12/25","21:00","5.477","-","5.77"
"2018/12/25","22:00","4.352","-","4.75"
"2018/12/25","23:00","2.885","-","3.21"
"2018/12/26","00:00","1.337","-","1.52"
"2018/12/26","01:00","-0.003","-","0.27"
"2018/12/26","02:00","-0.886","-","-0.69"
"2018/12/26","03:00","-1.151","-","-1.05"
"2018/12/26","04:00","-0.772","-","-0.68"
"2018/12/26","05:00","0.138","-","0.16"
"2018/12/26","06:00","1.354","-","1.28"
"2018/12/26","07:00","2.602","-","2.64"
"2018/12/26","08:00","3.626","-","3.57"
"2018/12/26","09:00","4.251","-","4.22"
"2018/12/26","10:00","4.413","-","4.55"
"2018/12/26","11:00","4.166","-","4.22"
"2018/12/26","12:00","3.66","-","3.73"
"2018/12/26","13:00","3.103","-","3.21"
"2018/12/26","14:00","2.71","-","2.74"
"2018/12/26","15:00","2.644","-","2.6"
"2018/12/26","16:00","2.966","-","2.93"
"2018/12/26","17:00","3.616","-","3.59"
"2018/12/26","18:00","4.423","-","4.35"
"2018/12/26","19:00","5.154","-","5.07"
"2018/12/26","20:00","5.581","-","5.61"
"2018/12/26","21:00","5.54","-","5.48"
"2018/12/26","22:00","4.974","-","4.88"
"2018/12/26","23:00","3.947","-","3.82"
"2018/12/27","00:00","2.63","-","2.57"
"2018/12/27","01:00","1.263","-","1.28"
