"animalID","MomAnimalID","year","weighingdate","weandate","sex","Wt","source","SL","AG","origtag","CL","region","error"
"4015","3982",NA,NA,1977-02-15,"F",111,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"18897",NA,1977,1977-03-03,1977-02-21,"F",141,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"18990",NA,1977,1977-03-04,1977-02-14,"M",120,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"10806","18640",1977,1977-02-15,1977-02-15,"F",121.563,"archive_1979_2021",3,NA,NA,NA,NA,NA
"18966",NA,1977,1977-03-03,1977-02-21,"M",179,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"18982","1843",1977,1977-03-01,1977-02-27,"M",107,"archive_1979_2021",3,NA,NA,NA,NA,NA
"4428",NA,1978,1978-02-06,1978-02-04,"M",145.15,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4429",NA,1978,1978-02-07,1978-02-04,"M",151.953,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4430",NA,1978,1978-02-07,1978-02-06,"F",133.81,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4431",NA,1978,1978-02-07,1978-02-05,"F",151.046,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4434",NA,1978,1978-02-07,1978-02-07,"F",147.418,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"11109",NA,1978,1978-02-01,1978-01-30,"F",131.542,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4435",NA,1978,1978-02-09,1978-02-04,"M",133.81,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4436",NA,1978,1978-02-09,1978-02-08,"M",151.953,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4437",NA,1978,1978-02-09,1978-02-08,"M",147.418,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"9622",NA,1978,1978-02-01,1978-01-30,"F",108.862,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4438",NA,1978,1978-02-09,1978-02-06,"M",135.171,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4439",NA,1978,1978-02-11,1978-02-11,"F",108.862,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4440",NA,1978,1978-02-11,1978-02-08,"F",147.418,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4441",NA,1978,1978-02-11,1978-02-09,"M",98.8831,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4442",NA,1978,1978-02-11,1978-02-11,"F",113.398,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4443",NA,1978,1978-02-11,1978-02-10,"F",109.769,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4447",NA,1978,1978-02-14,1978-02-12,"F",133.81,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4448",NA,1978,1978-02-14,1978-02-12,"F",161.025,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"19503",NA,1978,1978-02-22,1978-02-19,"M",113.398,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4459",NA,1978,1978-02-14,1978-02-12,"F",86.1826,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4461",NA,1978,1978-02-14,1978-02-11,"F",122.47,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4462","1480",1978,1978-02-14,1978-02-04,"F",124.738,"archive_1979_2021",5,NA,NA,NA,NA,NA
"4472",NA,1978,1978-02-16,1978-02-16,"M",90.7185,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4473",NA,1978,1978-02-16,1978-02-11,"M",127.006,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4474",NA,1978,1978-02-16,1978-02-14,"M",145.15,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4475",NA,1978,1978-02-16,1978-02-12,"F",45.3592,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4476",NA,1978,1978-02-16,1978-02-11,"F",107.501,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4477",NA,1978,1978-02-16,1978-02-15,"M",149.685,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4478","4153",1978,1978-02-16,1978-02-14,"F",142.882,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4479",NA,1978,1978-02-17,1978-02-12,"M",90.7185,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4480",NA,1978,1978-02-17,1978-02-09,"F",123.377,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4481",NA,1978,1978-02-17,1978-02-14,"F",129.274,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4482",NA,1978,1978-02-17,1978-02-09,"F",96.1616,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4483","7079",1978,1978-02-17,1978-02-16,"F",117.934,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4649",NA,1978,1978-02-17,1978-02-10,"M",115.666,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4650",NA,1978,1978-02-17,1978-02-17,"F",127.006,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4651",NA,1978,1978-02-17,1978-02-17,"F",131.542,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4652",NA,1978,1978-02-19,1978-02-17,"F",151.953,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4653",NA,1978,1978-02-19,1978-02-18,"M",117.934,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4654",NA,1978,1978-02-19,1978-02-19,"M",106.594,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4655",NA,1978,1978-02-19,1978-02-17,"F",127.006,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4656",NA,1978,1978-02-19,1978-02-15,"F",124.284,"archive_1979_2021",NA,NA,NA,NA,NA,NA
